item_id,categories
0,[PAD]
1,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Hooks"
2,"Sports & Outdoors,Hunting & Fishing,Fishing,Baits & Accessories,Bait Storage"
3,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Motors,Trolling Motors"
4,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
5,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Trailer Accessories,Guides & Rollers"
6,"Sports & Outdoors,Hunting & Fishing,Fishing,Tools,Nets & Accessories,Nets"
7,"Sports & Outdoors,Hunting & Fishing,Fishing,Accessories,Fishing Gloves"
8,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Tables & Accessories,Table Covers"
9,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Engine Parts,Outboard Motor Brackets"
10,"Sports & Outdoors,Hunting & Fishing,Fishing,Tools,Nets & Accessories,Nets"
11,"Sports & Outdoors,Exercise & Fitness,Accessories,Battle Ropes"
12,"Sports & Outdoors,Fan Shop,Patio, Lawn & Garden,Outdoor Flags"
13,"Sports & Outdoors,Fan Shop,Auto Accessories,Decals & Bumper Stickers,Decals"
14,"Sports & Outdoors,Fan Shop,Auto Accessories,Decals & Bumper Stickers,Decals"
15,"Sports & Outdoors,Fan Shop,Auto Accessories,Decals & Bumper Stickers,Decals"
16,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Braided Line"
17,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Topwater Lures"
18,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
19,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Braided Line"
20,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
21,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Tackle Boxes"
22,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Braided Line"
23,"Sports & Outdoors,Hunting & Fishing,Fishing,Baits & Accessories,Baits & Attractants,Eggs"
24,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
25,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
26,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Topwater Lures"
27,"Sports & Outdoors,Hunting & Fishing,Fishing,Baits & Accessories,Baits & Attractants,Eggs"
28,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Corks, Floats & Bobbers"
29,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
30,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Swivels & Snaps"
31,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
32,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Plugs"
33,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Hooks"
34,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
35,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
36,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
37,"Sports & Outdoors,Hunting & Fishing,Fishing,Tools,Nets & Accessories,Nets"
38,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Fluorocarbon Line"
39,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Topwater Lures"
40,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Braided Line"
41,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
42,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
43,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Sinkers & Weights"
44,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
45,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Leader Rigging"
46,"Sports & Outdoors,Fan Shop,Auto Accessories,Decals & Bumper Stickers,Decals"
47,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Cue Sticks & Accessories,Cue Tips"
48,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Tables & Accessories,Table Covers"
49,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Spinners & Spinnerbaits"
50,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Gloves"
51,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
52,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
53,"Sports & Outdoors,Hunting & Fishing,Fishing,Fly Fishing,Flies,Dry Flies"
54,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Leader Rigging"
55,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Leader Rigging"
56,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
57,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Spoons"
58,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
59,"Sports & Outdoors,Hunting & Fishing,Fishing,Fly Fishing,Flies"
60,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Corks, Floats & Bobbers"
61,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Spoons"
62,"Sports & Outdoors,Hunting & Fishing,Fishing,Rod & Reel Combos"
63,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
64,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Fluorocarbon Line"
65,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
66,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Topwater Lures"
67,"Sports & Outdoors,Hunting & Fishing,Fishing,Tools,Fish Scales"
68,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
69,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Hooks"
70,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Motors,Trolling Motors"
71,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Hooks"
72,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Motors,Trolling Motors"
73,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Cabin Products,Seating Accessories"
74,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Fluorocarbon Line"
75,"Sports & Outdoors,Hunting & Fishing,Fishing,Baits & Accessories,Baits & Attractants,Attractants"
76,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Leaders"
77,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
78,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Leader Rigging"
79,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
80,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Sports Sunglasses"
81,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Jigs"
82,"Sports & Outdoors,Hunting & Fishing,Fishing,Reels & Accessories,Reels"
83,"Sports & Outdoors,Hunting & Fishing,Fishing,Accessories,Line Spooling Accessories"
84,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Gloves"
85,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Monofilament Line"
